epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,118.842,3.89164,4.58656,4.2518,0.00081,0.03462,0.00068,0.0003,3.02262,4.56644,4.15867,7.777e-05,7.777e-05,7.777e-05
2,222.481,3.90649,4.53975,4.20843,0.00192,0.06319,0.00152,0.00055,3.02188,4.56807,4.15722,0.00016335,0.00016335,0.00016335
3,319.951,3.68426,4.49599,4.16683,0.00135,0.0489,0.00107,0.00045,3.02074,4.56946,4.15564,0.000245411,0.000245411,0.000245411
4,405.838,3.74537,4.48782,4.10603,0.00213,0.07747,0.00153,0.00055,3.01945,4.5699,4.15262,0.000323952,0.000323952,0.000323952
5,553.118,3.52813,4.39799,4.0233,0.00117,0.0489,0.00088,0.00034,3.01959,4.5699,4.14986,0.000398973,0.000398973,0.000398973
6,678.391,3.5301,4.27897,3.91088,0.00081,0.03462,0.00067,0.00027,3.02026,4.57069,4.15015,0.000470475,0.000470475,0.000470475
7,794.375,3.31592,4.12907,3.77922,0.00082,0.03462,0.00064,0.00028,3.02315,4.5659,4.151,0.000538457,0.000538457,0.000538457
8,903.888,3.35241,4.09672,3.72103,0.0017,0.06319,0.00109,0.0003,3.016,4.56608,4.15313,0.00060292,0.00060292,0.00060292
9,1039.42,3.21446,3.97177,3.65172,0.00081,0.03462,0.00056,0.00026,3.00406,4.56865,4.15237,0.000663862,0.000663862,0.000663862
10,1159.49,3.1941,3.79173,3.49452,0.00152,0.06319,0.00104,0.0003,2.99904,4.57222,4.17504,0.000721286,0.000721286,0.000721286
11,1285.09,3.11581,3.74215,3.41865,0.00233,0.16386,0.00196,0.00065,2.93211,4.56254,4.04381,0.000775189,0.000775189,0.000775189
12,1398.69,3.02404,3.68299,3.37495,0.00252,0.16386,0.0076,0.00205,2.93553,4.56519,4.09653,0.000825573,0.000825573,0.000825573
13,1514.72,3.04585,3.49534,3.23619,0.00334,0.30195,0.02186,0.00665,2.7652,4.43902,3.88801,0.000847026,0.000847026,0.000847026
14,1626.31,2.89656,3.51074,3.27181,0.88711,0.04444,0.05669,0.02511,2.72244,4.22498,3.65546,0.000825029,0.000825029,0.000825029
15,1734.37,2.91113,3.44186,3.18356,0.73307,0.04444,0.06115,0.01609,2.76597,4.21257,3.81433,0.000803031,0.000803031,0.000803031
16,1831.28,2.89212,3.30144,3.03321,0.60594,0.01111,0.00549,0.00183,2.89816,4.68017,4.74868,0.000781033,0.000781033,0.000781033
17,1949.93,2.81725,3.21527,3.05385,0.82595,0.00385,0.00689,0.0015,2.98735,4.96121,4.83476,0.000759035,0.000759035,0.000759035
18,2065.98,2.75347,3.16317,3.00705,0.42853,0.05232,0.01165,0.00344,3.05592,4.96569,4.99615,0.000737037,0.000737037,0.000737037
19,2200.3,2.69676,3.03225,2.86424,0.22327,0.05165,0.01163,0.00364,3.17216,5.26669,5.33481,0.00071504,0.00071504,0.00071504
20,2309.18,2.69726,3.10832,2.90098,0.002,0.25437,0.01052,0.00234,3.2199,4.84306,5.52098,0.000693042,0.000693042,0.000693042
21,2417.48,2.68927,3.08119,2.88952,0.00246,0.26572,0.00766,0.00233,3.12153,4.54936,4.99108,0.000671044,0.000671044,0.000671044
22,2523.1,2.66546,3.05766,2.86649,0.80592,0.01154,0.00855,0.00216,3.09132,4.47464,4.46383,0.000649046,0.000649046,0.000649046
23,2619.08,2.61171,2.96424,2.8104,0.58623,0.04765,0.05155,0.01649,2.83903,4.21915,4.11947,0.000627048,0.000627048,0.000627048
24,2721.02,2.63136,2.91477,2.77039,0.13898,0.18482,0.15966,0.06638,2.59482,3.77091,3.67662,0.000605051,0.000605051,0.000605051
25,2825.11,2.58536,2.90746,2.75001,0.15381,0.22261,0.15587,0.06496,2.54556,3.70422,3.52112,0.000583053,0.000583053,0.000583053
26,2918.32,2.58231,2.92183,2.75962,0.33831,0.1886,0.15215,0.07054,2.49965,3.75056,3.43296,0.000561055,0.000561055,0.000561055
27,2996.45,2.48366,2.7477,2.65039,0.44559,0.24759,0.2397,0.09881,2.46696,3.77259,3.33248,0.000539057,0.000539057,0.000539057
28,3075.55,2.50137,2.80501,2.69097,0.42877,0.26982,0.27354,0.11741,2.36745,3.69967,3.23264,0.000517059,0.000517059,0.000517059
29,3153.82,2.42339,2.68816,2.63801,0.55044,0.26548,0.27808,0.12061,2.32421,3.49364,3.16632,0.000495062,0.000495062,0.000495062
30,3258.61,2.46482,2.80899,2.63051,0.58819,0.24484,0.28992,0.12755,2.40629,3.47964,3.16097,0.000473064,0.000473064,0.000473064
31,3362.33,2.413,2.68538,2.5938,0.55526,0.28042,0.25524,0.11855,2.40815,3.45482,3.12373,0.000451066,0.000451066,0.000451066
32,3445.69,2.4017,2.70135,2.6265,0.58267,0.2758,0.27401,0.11033,2.40084,3.49295,3.09078,0.000429068,0.000429068,0.000429068
33,3519.86,2.41888,2.67505,2.57028,0.66614,0.2738,0.28434,0.12029,2.38301,3.44983,3.06844,0.00040707,0.00040707,0.00040707
34,3594.74,2.43496,2.6651,2.57811,0.60735,0.27908,0.27642,0.11439,2.38421,3.43833,3.04431,0.000385073,0.000385073,0.000385073
35,3674.2,2.41944,2.67427,2.60247,0.62941,0.33593,0.29158,0.13008,2.34245,3.3909,3.05502,0.000363075,0.000363075,0.000363075
36,28109.8,2.38546,2.53166,2.48439,0.68595,0.29449,0.34033,0.14607,2.30369,3.35479,3.05546,0.000341077,0.000341077,0.000341077
37,28223.1,2.35155,2.56546,2.48707,0.65848,0.25913,0.30717,0.14617,2.29588,3.37609,3.08076,0.000319079,0.000319079,0.000319079
38,28296.5,2.32523,2.49851,2.47369,0.58382,0.34676,0.32709,0.15272,2.26661,3.37622,3.07854,0.000297081,0.000297081,0.000297081
39,28365.2,2.38223,2.71022,2.60147,0.57907,0.35092,0.33766,0.14577,2.27032,3.32001,3.03855,0.000275084,0.000275084,0.000275084
40,28434.1,2.36426,2.57434,2.53629,0.58879,0.32721,0.31374,0.1288,2.28165,3.27516,3.02394,0.000253086,0.000253086,0.000253086
41,28500.4,2.21808,2.68233,2.46812,0.54971,0.35246,0.29691,0.13222,2.2719,3.28905,3.01402,0.000231088,0.000231088,0.000231088
42,28566.3,2.27232,2.68141,2.44725,0.60478,0.27976,0.31503,0.14729,2.28491,3.36733,2.99887,0.00020909,0.00020909,0.00020909
43,28632.9,2.15503,2.646,2.44389,0.64134,0.2981,0.34568,0.16627,2.2448,3.39639,2.948,0.000187092,0.000187092,0.000187092
44,28699.4,2.17027,2.68973,2.4464,0.4985,0.36667,0.34148,0.16413,2.20126,3.34371,2.91573,0.000165095,0.000165095,0.000165095
45,28765.7,2.21041,2.68293,2.45629,0.5365,0.42412,0.36876,0.16576,2.19494,3.26826,2.91113,0.000143097,0.000143097,0.000143097
46,28832,2.17941,2.62372,2.43093,0.67157,0.32238,0.38946,0.17265,2.20057,3.23807,2.90982,0.000121099,0.000121099,0.000121099
